id,data_de_referencia,data_do_evento,data_do_pagamento,descricao,nota,renda,gastos,grupos/0,instituicao_financeira,status,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6
1cf31a3a-2ecf-4bb4-b03e-b52499af6164,2022-03-06T00:00:00,2022-03-06T00:00:00,2022-03-06T00:00:00,Assaí Atacadista - compra para fazer bolo,,0,83.28,GASTOS,SODEXO-ALI-IBM,PAGO,Moradia,Essencial,Mercado,Variavel,Alimentação,,
1cfaa629-fae1-4d00-826b-5856bfcf70fc,2022-03-08T00:00:00,2022-03-08T00:00:00,2022-03-08T00:00:00,Shibata - clique e retire,,0,89.33,GASTOS,SODEXO-REF-IBM,PAGO,Moradia,Essencial,Mercado,Variavel,Alimentação,,
24b0af99-b356-4702-8fac-45c69a6dc90e,2022-03-17T00:00:00,2022-03-17T00:00:00,2022-03-17T00:00:00,Shibata,,0,41.57,GASTOS,SODEXO-REF-IBM,PAGO,Moradia,Essencial,Mercado,Variavel,Alimentação,,
2ce7bbee-8cae-4772-b56a-7849df12154e,2022-03-11T00:00:00,2022-03-01T00:00:00,2022-03-11T00:00:00,Microsoft Game Pass Ultimate,"Primeiro mês = 5,00; Depois = 44,99;",0,44.99,CREDITO,NUBANK,PAGO,Lazer,Variavel,,,,,
2de060f3-6a01-48e4-818e-2a99b68b6138,2022-03-04T00:00:00,2022-03-04T00:00:00,2022-03-04T00:00:00,Multi Sabor SJC - Cidade Jardim - 100 salgadinhos,,0,42,GASTOS,NUBANK,PAGO,Lazer,Comida,Variavel,,,,
2f7262bd-79bc-49db-a2a4-8f17956dda07,2022-03-22T00:00:00,2022-03-22T00:00:00,2022-03-22T00:00:00,Agua - ITAQUERA - SERÁ PAGO PELA JOICE (CASA ALUGADA),,0,0,GASTOS,NUBANK,PAGO,Itaquera,Essencial,AjudaAlmir,Fixo,,,
324c52b9-b9e0-430b-89b7-e60d3bf5d5d6,2022-03-20T00:00:00,2022-03-15T00:00:00,2022-03-15T00:00:00,Convenio Cicero,,0,342.83,GASTOS,NUBANK,PAGO,Essencial,Saude,Convenio,Familia,Cicero,Fixo,
3c870b53-db16-4567-84dc-7ce0cadb2375,2022-03-08T00:00:00,2022-02-08T00:00:00,2022-03-08T00:00:00,PAG*Farmaconde,,0,49.12,CREDITO,ITAU,PAGO,Variavel,Carlos,Eduardo,Remedio,,,
3e3c769f-3292-421a-b1a3-1196efe9b367,2022-03-22T00:00:00,2022-03-22T00:00:00,2022-03-22T00:00:00,Luz - DEBITO AUTO,,0,344.29,GASTOS,ITAU,PAGO,Moradia,Essencial,Luz,Fixo,,,
47219f62-c425-4d4a-922a-a9a96ae1faa6,2022-03-15T00:00:00,2022-03-15T00:00:00,2022-03-15T00:00:00,Convenio Roberta,,0,230.66,GASTOS,NUBANK,PAGO,Essencial,Saude,Convenio,Familia,Fixo,,
4af6ae44-00cf-45ae-ac89-aa8f079873b2,2022-03-13T00:00:00,2022-03-13T00:00:00,2022-03-13T00:00:00,Vale-Sul Shopping - Estacionamento,,0,9,GASTOS,NUBANK,PAGO,Carro,Estacionamento,Variavel,,,,
4c4bb877-6b60-4940-b0b2-8a4ea40cac5c,2022-03-01T00:00:00,2022-03-01T00:00:00,,Entrada mes anterior,,0,0,TRANSFERENCIA,SANTANDER,RECEBIDO,,,,,,,
4d5d789e-3bb1-4245-b4e6-db1413a4ec6d,2022-03-15T00:00:00,2022-03-15T00:00:00,,Transferencia via PIX,,0,170,TRANSFERENCIA,NUBANK,ENVIADO,,,,,,,
5947a206-90bf-405a-a801-9f8f4def7ef8,2022-03-08T00:00:00,2021-11-11T00:00:00,2022-03-08T00:00:00,INSTITUTO MIX SJC 01-10 EDUCACAO. CURSO DE CONFEITARIA 04-10,,0,223.38,CREDITO,ITAU,PAGO,Roberta,Cursos,Variavel,,,,
5c25a79a-ea06-431b-91c2-751e1f800005,2022-03-01T00:00:00,2022-03-01T00:00:00,,Entrada mes anterior,,3220.14,0,TRANSFERENCIA,NUBANK,RECEBIDO,,,,,,,
5c982be3-eb48-4e4e-90c2-fe8cd03cc999,2022-03-05T00:00:00,2022-03-05T00:00:00,2022-03-05T00:00:00,Shibata,"Buzz Lightyear para o Carlos = 114,00",0,203.92,GASTOS,NUBANK,PAGO,Moradia,Essencial,Mercado,Variavel,Alimentação,Lazer,Carlos
66d2ac63-4acc-4c8b-8daf-55c7252ba2be,2022-03-11T00:00:00,2022-02-26T00:00:00,2022-03-11T00:00:00,Amazonprimebr,,0,9.9,CREDITO,NUBANK,PAGO,Streaming,Fixo ,,,,,
67e6e7aa-5dd7-4224-a10a-e163b76226a6,2022-03-15T00:00:00,2022-03-15T00:00:00,2022-03-15T00:00:00,Shibata,,0,98.46,GASTOS,SODEXO-ALI-IBM,PAGO,Moradia,Essencial,Mercado,Variavel,Alimentação,,
68642bf6-35b6-4105-9d2c-415e1ff101d5,2022-03-01T00:00:00,2022-03-01T00:00:00,,Transferencia via PIX,,0,350,TRANSFERENCIA,NUBANK,RECEBIDO,,,,,,,
6d397d71-e984-4fa3-ae66-c0100256b7b3,2022-03-08T00:00:00,2022-03-04T00:00:00,2022-03-04T00:00:00,Fatura VIVOFIBRA INTERNET,,0,117.09,GASTOS,NUBANK,PAGO,Essencial,Internet,Fixo,,,,
6e93b080-b2f5-4981-82aa-40a3b9bac03a,2022-03-11T00:00:00,2022-02-28T00:00:00,2022-03-11T00:00:00,"AZUL AUTO - SEGUROS - R$ 1.574,01 - 6x - 4-6",,0,262.33,CREDITO,NUBANK,PAGO,Carro,Seguro,Variavel,,,,
6fcb0956-9cea-47b3-acd6-36f90b56a157,2022-03-15T00:00:00,2022-03-15T00:00:00,,Transferencia via PIX,,0,5058.2,TRANSFERENCIA,SANTANDER,ENVIADO,,,,,,,
70b71246-f109-4e4f-a5e1-6cdb0da6c0c0,2022-03-01T00:00:00,2022-03-01T00:00:00,,Entrada mes anterior,,30,0,TRANSFERENCIA,INTER,RECEBIDO,,,,,,,
7634672d-9fbb-4e35-bb0a-920f27baddc7,2022-03-30T00:00:00,2022-03-30T00:00:00,,Padaria Edna Magali - PRONVAL Periodico IBM,,0,15,GASTOS,NUBANK,PAGO,Lazer,Comida,Variavel,,,,
78bc1d4e-424c-4798-a37c-132a6df8f281,2022-03-14T00:00:00,2022-03-14T00:00:00,2022-03-14T00:00:00,Recarga TIM Cicero 11 948825242,,0,15,GASTOS,C6BANK,PAGO,Variavel,Recarga,TIM,,,,
7cb76010-ec76-4b6f-9beb-76bc6ff492dd,2022-03-08T00:00:00,2022-02-07T00:00:00,2022-03-08T00:00:00,PAG*Farmacon-CT,,0,36.1,CREDITO,ITAU,PAGO,Variavel,Carlos,Eduardo,Remedio,,,
7e8f8969-a7f1-494b-9369-bbf93a6ec69c,2022-03-15T00:00:00,2022-03-15T00:00:00,,Recebimento via PIX,,170,0,TRANSFERENCIA,ITAU,RECEBIDO,,,,,,,
84faf31e-4257-4971-a11c-c34dec0c0fd7,2022-03-08T00:00:00,2022-02-17T00:00:00,2022-03-08T00:00:00,PAG*Farmacon-CT,,0,35.37,CREDITO,ITAU,PAGO,Variavel,Carlos,Eduardo,Remedio,,,
8905b440-cb22-4569-a3bb-2b631faa7060,2022-03-04T00:00:00,2022-03-04T00:00:00,,Transferencia via PIX - Roberta (aluguel),,0,500,ALUGUEL,NUBANK,ENVIADO,Roberta,Aluguel,Itaquera,Variavel,,,
8b2b9240-40de-4cc0-80d1-49bd1504eac4,2022-03-03T00:00:00,2022-03-01T00:00:00,2022-03-01T00:00:00,Psicologa - Kelley Nascimento (para Roberta) PIX (TEL) 31993029435,,0,400,GASTOS,NUBANK,PAGO,Psicologa,Fixo,Roberta,,,,
99853975-4284-44ac-9cbf-07fd01743707,2022-03-11T00:00:00,2022-02-10T00:00:00,2022-03-11T00:00:00,Discovery+,,0,16.24,CREDITO,NUBANK,PAGO,Streaming,Fixo ,,,,,
99d362aa-c676-4618-bf4b-e80177fee36f,2022-03-15T00:00:00,2022-03-14T00:00:00,2022-03-14T00:00:00,Salario - IBM,,5058.2,0,RENDA,SANTANDER,PAGO,Recebimentos,Salario,Fixo,,,,
9a5b9d6b-55b4-4d6c-8a13-180972152dae,2022-03-04T00:00:00,2022-03-04T00:00:00,,Aluguel de Itaquera - Joice,,500,0,ALUGUEL,NUBANK,RECEBIDO,Recebimentos,Aluguel,Itaquera,Variavel,,,
9b22524f-99dd-422a-881e-24180d8bfc30,2022-03-30T00:00:00,2022-03-30T00:00:00,,Recarga TIM Cicero 11 948825242,,0,20,GASTOS,NUBANK,PAGO,Variavel,Recarga,TIM ,,,,
9bbfd4bd-342d-401e-ad75-7e73c6d2bb80,2022-03-10T00:00:00,2022-03-04T00:00:00,2022-03-04T00:00:00,Colégio Evoluti SJC,,0,637,GASTOS,NUBANK,PAGO,Essencial,Escola,Eduardo,Fixo,,,
9c2626b3-5efc-434d-a220-ac3cdb8bc0d1,2022-03-14T00:00:00,2022-03-14T00:00:00,,Transferencia via PIX,,0,10,TRANSFERENCIA,NUBANK,ENVIADO,,,,,,,
a203c184-100b-4d6f-a4c5-d59a98dbe717,2022-03-01T00:00:00,2022-03-01T00:00:00,,Entrada mes anterior,,80.07,0,TRANSFERENCIA,ITAU,RECEBIDO,,,,,,,
af5c2a5d-a6d2-4c66-abfc-c764b474dac7,2022-03-26T00:00:00,2022-03-26T00:00:00,2022-03-26T00:00:00,Assaí Atacadista,,0,1049.8,GASTOS,NUBANK,PAGO,Moradia,Essencial,Mercado,Fixo,Alimentação,,
b11015d8-c5d1-4b56-af55-1323843001e3,2022-03-04T00:00:00,2022-03-04T00:00:00,,Resgate reserva de oportunidade,,2000,0,INVESTIMENTO,NUBANK,RECEBIDO,Resgate,Nubank,Variavel,,,,
b51a1512-3ca4-4b37-a1e3-bc0304aefe47,2022-03-01T00:00:00,2022-03-01T00:00:00,,Entrada mes anterior,,394.49,0,TRANSFERENCIA,SODEXO-ALI-IBM,RECEBIDO,,,,,,,
bbb2fb67-f873-4f7d-90fe-982ed8c3c5d5,2022-03-15T00:00:00,2022-03-15T00:00:00,2022-03-15T00:00:00,Shibata - clique e retire,,0,165.54,GASTOS,SODEXO-ALI-IBM,PAGO,Moradia,Essencial,Mercado,Variavel,Alimentação,,
bfc6d6e3-fe57-416e-bdc4-80eb8d38b2cb,2022-03-20T00:00:00,2022-03-20T00:00:00,2022-03-20T00:00:00,Shibata,,0,191.8,GASTOS,SODEXO-REF-IBM,PAGO,Moradia,Essencial,Mercado,Variavel,Alimentação,,
c1014d92-d701-4845-9c4e-707fdd29b2fa,2022-03-01T00:00:00,2022-03-01T00:00:00,,Entrada mes anterior,,9.52,0,TRANSFERENCIA,C6BANK,RECEBIDO,,,,,,,
d400587a-1027-42ce-a9d3-f2de5c765f5f,2022-03-29T00:00:00,2022-03-29T00:00:00,,Kabum - Controle sem fio XBox Carbon Black (Series S/X),"Controle sem fio XBox Carbon Black (Series S/X) = R$ 413,91. Frete = R$ 12,57.",0,426.48,GASTOS,NUBANK,PAGO,Cicero,Lazer,Variavel,,,,
d44c4d60-851a-4af4-9a59-a7a05192eaa4,2022-03-08T00:00:00,2022-02-20T00:00:00,2022-03-08T00:00:00,PAG*Farmacon-CT,,0,79.8,CREDITO,ITAU,PAGO,Variavel,Carlos,Eduardo,Remedio,,,
d702e650-0444-43f1-b0cb-8ac36af28694,2022-03-01T00:00:00,2022-03-01T00:00:00,2022-03-01T00:00:00,Mesada Eduardo,,0,50,GASTOS,NUBANK,PAGO,Mesada,Eduardo,Fixo,,,,
da7dfa12-cd53-4d71-8d71-42989cdcdfe3,2022-03-09T00:00:00,2022-03-09T00:00:00,2022-03-09T00:00:00,Facillita Passadoria - passar roupas - PIX (12)982423502,,0,138,GASTOS,ITAU,PAGO,Essencial,Roupas,Passar,Roberta,Variavel,,
de5c64ce-9e39-432a-a7fc-01b4377f3ad0,2022-03-30T00:00:00,2022-03-30T00:00:00,,Estacionamento - PRONVAL Periodico IBM,,0,5,GASTOS,NUBANK,PAGO,Carro,Estacionamento,Variavel,,,,
e36176b5-163f-4fe9-922c-19cc4e720657,2022-03-11T00:00:00,2022-02-25T00:00:00,2022-03-11T00:00:00,Google YouTube Premium,,0,31.9,CREDITO,NUBANK,PAGO,Streaming,Fixo ,,,,,
e3f04a02-64cc-4c68-aa72-c1941fec1781,2022-03-15T00:00:00,2022-03-15T00:00:00,2022-03-15T00:00:00,Convenio Eduardo,,0,182.43,GASTOS,NUBANK,PAGO,Essencial,Saude,Convenio,Familia,Fixo,,
e3f3b149-31fa-461a-b31d-840f8d576f07,2022-03-04T00:00:00,2022-03-04T00:00:00,,Rendimento,,15.06,0,INVESTIMENTO,NUBANK,RECEBIDO,Recebimentos,Rendimentos,Variavel,,,,
e61ab9ca-0a11-4607-a88b-75446d0981e4,2022-03-08T00:00:00,2022-03-08T00:00:00,2022-03-08T00:00:00,Cartão Roberta,,0,423.77,GASTOS,NUBANK,PAGO,CartaoDeCredito,Roberta,,,,,
ef7b34e2-93e8-4473-9fb6-0af7be8ceab8,2022-03-25T00:00:00,2022-03-25T00:00:00,2022-03-25T00:00:00,iFood - Pizzaria Villas Boas - 1 pizza gigante 16 pedaços,,0,80,GASTOS,NUBANK,PAGO,Lazer,Comida,Variavel,,,,
f0ad5b6f-1514-4336-8f9e-9bd9e5db5fa1,2022-03-19T00:00:00,2022-03-19T00:00:00,,Aluguel de garagem Itaquera - Arthur,,150,0,ALUGUEL,NUBANK,RECEBIDO,Recebimentos,Aluguel,Itaquera,Variavel,,,
f831f1db-406b-433c-8d41-562e7df519b0,2022-03-02T00:00:00,2022-03-02T00:00:00,2022-03-02T00:00:00,Agua - DEBITO AUTO,,0,54.26,GASTOS,ITAU,PAGO,Moradia,Essencial,Agua,Fixo,,,
fa2c796e-a694-454b-81dc-6533f6d16e22,2022-03-14T00:00:00,2022-03-14T00:00:00,,Recebimento via PIX,,10,0,TRANSFERENCIA,C6BANK,RECEBIDO,,,,,,,
fb290c27-3ab5-4d2c-a6e5-f55957d3d732,2022-03-15T00:00:00,2022-03-15T00:00:00,,Recebimento via PIX,,5058.2,0,TRANSFERENCIA,NUBANK,RECEBIDO,,,,,,,
fc61a32a-3ce0-4af5-96d7-095b63f35c30,2022-03-01T00:00:00,2022-03-01T00:00:00,,Recebimento via PIX,,350,0,TRANSFERENCIA,ITAU,ENVIADO,,,,,,,
fd96f219-7c58-44c9-8a2f-df48b81aeb4f,2022-03-11T00:00:00,2022-03-11T00:00:00,2022-03-11T00:00:00,Cartão Nubank,,0,365.36,GASTOS,NUBANK,PAGO,CartaoDeCredito,Cicero,,,,,
fe36bc88-8a50-40e4-be26-e238861b17f1,2022-03-24T00:00:00,2022-03-24T00:00:00,2022-03-24T00:00:00,Mercadinho Piratininga - Cassiopéia prox Andromeda SJC,,0,31.05,GASTOS,SODEXO-ALI-IBM,PAGO,Moradia,Essencial,Mercado,Variavel,Alimentação,,
